id_twin,id_fam,sex,ethnicity,zygosity,mom_ed,s00s1,s01s1,s02s1,s03s1,s04s1,s05s1,s06s1,s07s1,s08s1,s09s1,s10s1,s11s1,s12s1,vc0001,vc0011,vc0021,vc0031,vc0041,vc0051,vc0061,vc0071,vc0081,vc0091,vc0101,vc0111,vc0121,vc0131,vc0141,vc0151,vc0161,vc0171,vc0181,vc0191,vc0201,vc0211,vc0221,vc0231,vc0241,vc0251,vc0261,vc0271,vc0281,vc0291,vc0301,vc0311,vc0321,vc0331,vc0341,vc0351,vc0361,vc0371,vc0381,vc0391,vc0401,vc0411,vc0421,vc0431,vc0441,vc0451,vc0461,vc0471,vc0481,vc0491,vc0501,vc0511,vc0521,vc0531,vc0541,vc0551,vc0561,vc0571,vc0581,vc0591,vc0601,vc0611,vc0621,vc0631,vc0641,vc0651,vc0661,vc0671,vc0681,vc0691,vc0701,vc0711,vc0721,vc0731,vc0741,vc0751,vc0761,vc0771,vc0781,vc0791,vc0801,vc0811,vc0821,vc0831,vc0841,vc0851,vc0861,vc0871,vc0881,vc0891,vc0901,vc0911,vc0921,vc0931,vc0941,vc0951,vc0961,vc0971,vc0981,vc0991,vc1001,age_months
1666921,166692,female,white,MZ,3,1,1,0,1,0,0,0,1,0,1,0,0,0,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1,NA,NA,1,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,37
1666922,166692,female,white,MZ,3,1,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,1,NA,1,NA,1,1,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1,NA,NA,1,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,37
1667131,166713,male,white,DZ,3,1,0,1,0,1,0,0,0,0,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35
1667132,166713,female,white,DZ,3,1,0,1,0,1,1,0,1,0,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35
1667191,166719,female,white,MZ,5,1,0,1,0,1,1,0,1,0,1,1,0,0,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,NA,1,NA,36
1667192,166719,female,white,MZ,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
1667221,166722,female,white,MZ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,1,1,NA,NA,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,36
1667222,166722,female,white,MZ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,36
1667401,166740,female,white,MZ,8,1,0,1,1,0,0,0,0,0,1,0,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,36
1667402,166740,female,white,MZ,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,36
1667461,166746,female,white,DZ,2,1,0,0,0,0,0,0,0,0,0,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35
1667462,166746,female,white,DZ,2,1,1,1,1,1,1,0,0,0,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,35
1667551,166755,male,white,DZ,3,1,0,0,1,0,0,0,0,0,1,1,0,0,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,36
1667552,166755,male,white,DZ,3,1,0,0,1,0,0,0,0,0,1,1,0,0,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,36
1667641,166764,male,white,MZ,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
1667642,166764,male,white,MZ,7,1,1,0,1,1,1,0,0,0,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36
1667731,166773,male,white,MZ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36
1667732,166773,male,white,MZ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36
1667791,166779,female,other,DZ,3,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,36
1667792,166779,male,other,DZ,3,1,1,0,1,0,1,0,0,0,0,0,0,0,NA,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,36
1667971,166797,female,white,DZ,2,1,1,1,1,0,0,0,0,0,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,34
1667972,166797,male,white,DZ,2,1,0,0,0,0,0,1,1,0,0,0,0,1,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,35
1668271,166827,female,white,DZ,3,1,0,1,1,1,0,1,0,0,0,0,0,0,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,1,1,1,NA,1,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,35
1668272,166827,female,white,DZ,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1668301,166830,male,white,MZ,5,1,1,1,1,1,1,1,0,0,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,36
1668302,166830,male,white,MZ,5,1,1,1,1,1,1,1,0,0,1,1,0,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,NA,1,1,1,NA,35
1668361,166836,female,white,DZ,3,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,NA,NA,1,NA,1,NA,1,1,1,NA,1,NA,1,1,NA,NA,1,1,1,1,NA,1,NA,1,1,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,37
1668362,166836,male,white,DZ,3,1,0,1,1,1,1,1,0,0,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,1,NA,1,1,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,37
1668541,166854,male,white,DZ,5,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,NA,1,1,35
1668542,166854,male,white,DZ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,35
1668631,166863,male,white,DZ,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,35
1668632,166863,female,white,DZ,3,1,0,0,1,0,1,0,0,0,0,0,0,0,NA,1,1,1,NA,1,1,1,NA,1,1,NA,1,NA,NA,1,1,1,1,NA,1,1,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,35
1668691,166869,female,white,MZ,3,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1668692,166869,female,white,MZ,3,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1668721,166872,male,white,MZ,4,1,1,0,1,0,1,1,0,0,0,1,1,1,NA,1,1,1,1,1,NA,1,1,NA,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,35
1668722,166872,male,white,MZ,4,1,1,0,1,0,1,1,0,0,0,1,1,1,NA,1,1,1,1,1,NA,1,1,NA,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,36
1668871,166887,female,white,MZ,1,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,36
1668872,166887,female,white,MZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,36
1668901,166890,male,white,MZ,7,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,1,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,1,NA,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,NA,1,NA,35
1668902,166890,male,white,MZ,7,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,NA,1,NA,37
1668961,166896,female,white,DZ,3,1,0,0,1,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,1,NA,36
1668962,166896,female,white,DZ,3,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,36
1669081,166908,male,white,DZ,2,1,1,1,0,0,1,1,1,0,1,1,1,1,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,38
1669082,166908,male,white,DZ,2,1,0,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,1,NA,1,NA,1,NA,1,1,1,NA,1,NA,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,38
1669171,166917,female,white,DZ,5,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,35
1669172,166917,male,white,DZ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,36
