subj#,data_age,CDIDate,CDIAge,months,days,birthord,gender,momsed,dadsed,totprod,totcomp,am,ay,beemee,cuacua,guagua,miausound,muu,piopio,pipi,pum,qiqiriq,tutu,abeja,animal,arana,ardilla,borrego,buho,burro,caballo,cabra,conejo,elefant,gallina,gato,guajolo,hippotm,hormiga,jirafa,leon,lobo,maripos,mono,mosca,oso,pajaro,pato,perro,pescado,pinguin,pollito,puerco,rana,raton,tigre,tortuga,vaca,venado,avion,barco,bicicle,camibom,camion,carreol,carro,moto,tren,agua,arroz,atole,cafe,carne,cereal,chile,comida,dulce,frijole,galleta,helado,huevo,jamon,jugo,leche,manzana,naranja,paleta,pan,pastel,platano,pollo,quesdil,queso,salchch,soda,sopa,tortila,uvas,aretes,babera,botas,boton,calceti,calzon,cierre,collar,falda,lentes,panal,pantalo,pijama,playera,shorts,sombrer,sueter,vestido,zapato,bigote,boca,brazos,cabeza,cachete,cara,chichi,dedos,dientes,lengua,manos1,nariz,ojos,ombligo,orejas,panza,pelo,piernas,pies,rodilla,globo,juguete,lapiz,libro,muneca,osito,pelota,tambor,almohad,aspirdo,basura,bolsa,botlmam,caja,cepidnt,cepillo,chupete,cigarrs,cobija,cuadro,cuchara,cuchill,dinero,escoba,espejo,fotos,jabon,llaves,luz,martill,medicin,papel,peine,plato,radio,reloj,taza,telefon,tenedor,tijeras,toalla,trapo,vaso,vela,bacinic,bano,cajon,cama,cochera,cocina,cuarto,cuna,escaler,estufa,horno,lavabo,mesa,puerta,recamar,refrig,regader,ropero,sala,silla,sofa,televis,tina,ventana,albrpis,arbol,calle,campo,casa,cielo,columpi,escuela,estrell,fiesta,flor,iglstmp,jardin,lluvia,luna,nieve,nube,parque,piedra,planta,playa,resbald,sol,techo,tienmer,zoologi,abuela,abuelo,bebe,familia,hermana,hermano,madrina,maestra,mama,nana,nina,nino,nomnin,padrino,papa,persona,senor,senora,tia,tio,acerrin,adiosby,besitos,buendia,buennoc,cosqlit,gracias,hacerme,hola,manos2,no,ojitos,porfavo,salud,shhh,si,tengman,tortlit,unodstr,abrir,acabars,apagar,apurar,aventar,ayudar,bailar,brincar,caer,caminar,cantar,cenar,cerrar,comer,correr,dar,decir,desyuna,dibujar,doler,dormir,empujar,ensenar,escribi,esperse,ir,jugar,lavar,leer,llevar,llorar,meterse,mirar,mojarse,morder,parar,pegar,peinars,pintar,poder,poner,prender,querer,romper,sacar,secarse,sentars,soplar,subir,tener,tirar,tocar,tomar,trabaja,ver,estar,ser,ahorita,ayer,despues,dia,hoy,manana,noche,tempran,amarill,azul,bonita,calient,cansado,chico,content,cuidado,difernt,dificil,enfermo,enojado,feo,frio,fuchi,grande,guapo,hambre,igual,limpio,lleno,malo,miedo,nuevo,oscuro,pesado,poco,rojo,roto,sed,suave,sucio,sueno,triste,vacio,verde,viejo,aquel,aquela,el1,ella,ellas,ellos,esa,esas,ese,eso,esos,esta,estas,este,esto,estos,lepro,les,lo,me,mia,mias,mio,mios,se,su,te,tu,tuya,tuyas,tuyo,tuyos,yo,como,cual,dondest,porque,que,quien,el2,la,las,los,un,una,unas,unos,mas,mucho,nada,nohay,otravez,tambien,todo,ya,abajo,adentro,afuera,ahi,allaall,aqui,arriba,atras,encima,de,en,para,ACOSTRLO,AGUAPLNT,APRILABI,AVIENBES,AVIENPEL,BAILA,BARRTRAP,BRAMOSTR,CABEZNO,CABEZSI,CHUCTENE,COSQUITA,DARLBESI,DARLBOTL,DARLCUCH,EMPUCART,EMPUJCAR,ESCRBMAQ,ESCRPLUM,FUMACIG,GESTOSHH,HABLARLE,HACEDORM,HACEHOYO,HACEOJIT,HACEVUEL,HUELFLOR,JUEGCERN,JUEGESCO,JUEGLEYE,JUEGTORT,JUEPNTAT,LAVADNTO,LAVAPLAT,LEVANTEN,LEVHOMBR,LIMPCARA,LLAVPUER,MANADIO,MANECOCH,MANOALGO,MANOVEN,MECERARR,PEGAMART,PEINARLO,PEINPELO,PERSIGNA,PONECOLL,PONELENT,PONESOMB,PONETELE,PONEZAPA,SACUDE,SANASANA,SECACARA,SECARAIR,SENALA,SOPLCALI,SSUBST,TAPARLO,TOCAINST,TOMATAZA,TRATDARL,TRATVEST,TRPONPAN,RESPNAM,RESPNO,REACTMD,ABRABOCA,ADIOS,DORMHACR,AVIENTAL,BRAVO,CUIDFRAS,DAMEDALE,DNDEGUAG,ESTQUIET,HAZMOJIT,MIRA,MUYBIEN,NOPHRASE,NOMUEVAS,NOTOQUES,PARATE,QUILECHE,QUIERMAS,SACALO,SIENTATE,SILENCIO,CAMBPANL,TIENHAMB,TRAEMESO,VAMANOS,VEN,YAFRASE,YLLEGOPM,IMITATE,LABEL
409,14,1996-12-10,13,13,23,,F,5,3,15,108,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,2,2,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1
410,13,1997-02-10,13,13,9,2,F,3,4,18,287,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,2,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,2,2,1,1,0,1,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
411,14,1997-02-10,13,13,14,3,F,2,2,11,155,2,2,0,0,2,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,2,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
412,13,1997-02-05,13,13,10,2,M,5,5,3,242,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,2,0,1,1,1,0,2,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
413,14,1997-02-09,13,13,22,1,M,4,,17,118,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,2,1,2,2,0,1,1,2,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,2,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1
414,14,1997-02-05,13,13,22,2,M,2,2,10,164,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,2,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0
415,14,1997-02-11,14,14,1,2,F,4,4,85,159,2,2,0,0,2,1,2,1,2,0,2,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,2,1,1,1,1,2,0,2,1,2,2,2,2,2,2,0,1,2,0,0,0,2,2,2,0,2,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0,0,1,0,2,2,2,0,0,2,1,1,0,0,2,2,1,0,1,0,2,0,2,0,1,0,1,0,2,2,0,2,0,0,2,2,1,2,0,2,1,2,2,0,2,1,0,1,0,2,0,2,1,0,0,0,1,0,1,1,0,1,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,2,2,0,0,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,2,1,1,2,2,2,2,2,2,2,2,0,1,2,2,2,0,2,2,2,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
416,14,1997-02-07,14,14,11,9,M,3,2,71,233,0,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,2,1,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,1,2,1,0,2,2,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2,1,1,2,0,2,1,2,1,2,1,2,0,1,0,1,0,2,0,1,1,2,0,0,0,1,0,2,0,1,1,1,2,2,0,0,0,1,1,1,0,1,2,0,0,0,1,1,1,0,2,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,2,0,2,2,0,0,2,0,2,2,1,1,2,0,1,1,1,1,0,2,1,0,1,1,2,0,2,2,2,1,0,1,2,2,0,1,2,1,0,1,1,1,0,1,0,2,1,2,0,1,1,0,1,0,1,1,2,1,1,0,0,1,1,2,1,0,0,1,1,2,1,1,1,1,1,0,0,1,1,2,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1,1,1,1,2,2,0,1,2,0,1,1,1,0,0,0,1,0,0,0,2,0,2,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,2,0,2,0,0,0,0,1,1,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
417,16,1997-02-09,15,15,14,1,M,5,5,7,133,0,0,2,2,1,2,2,1,2,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
418,16,1996-10-26,16,16,4,1,F,3,3,11,264,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,2,0,1,1,1,1,2,0,1,1,1,1,0,2,1,0,0,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1
